,0
TT_Den,0.07
TT_Alv,1.8
TB_Pal,2.25
TB_Vel,0.63
TB_Pha,2.35
LA,0.74
LPRO,7.78
TT_Den_dot,-303.03
TT_Alv_dot,-291.41
TB_Pal_dot,-333.53
TB_Vel_dot,-160.8
TB_Pha_dot,-224.09
LA_dot,-239.14
LPRO_dot,-91.96
