,0
TT_Den,57.1
TT_Alv,55.07
TB_Pal,64.66
TB_Vel,29.09
TB_Pha,54.48
LA,30.68
LPRO,20.75
TT_Den_dot,326.66
TT_Alv_dot,295.69
TB_Pal_dot,365.25
TB_Vel_dot,171.79
TB_Pha_dot,215.55
LA_dot,237.94
LPRO_dot,92.14
