,0
TT_Den_dot_dot,27944.73
TT_Alv_dot_dot,28298.69
TB_Pal_dot_dot,32228.36
TB_Vel_dot_dot,17813.58
TB_Pha_dot_dot,24824.74
LA_dot_dot,31101.99
LPRO_dot_dot,10379.39
jaw,1.5
tongue,3.0
shape,2.0
apex,1.0
lip_ht,1.3
lip_pr,1.8
jaw_dot,20.0
tongue_dot,19.99
shape_dot,20.0
apex_dot,19.99
lip_ht_dot,19.99
lip_pr_dot,20.0
