,0
TT_Den_dot_dot,-27953.96
TT_Alv_dot_dot,-28307.62
TB_Pal_dot_dot,-32233.07
TB_Vel_dot_dot,-17809.85
TB_Pha_dot_dot,-24825.02
LA_dot_dot,-31099.41
LPRO_dot_dot,-10381.03
jaw,-1.7
tongue,-3.0
shape,-1.0
apex,-3.0
lip_ht,-1.3
lip_pr,-0.8
jaw_dot,-20.0
tongue_dot,-19.99
shape_dot,-20.0
apex_dot,-20.0
lip_ht_dot,-19.99
lip_pr_dot,-19.99
