,0
jaw_dot_dot,-3907.16
tongue_dot_dot,-3724.88
shape_dot_dot,-3742.64
apex_dot_dot,-3949.78
lip_ht_dot_dot,-3373.94
lip_pr_dot_dot,-3652.55
