4.193243205547332875e-01,-6.010589718818664107e-01,-2.367110991477966220e+00,-2.053146576881408780e+00,-1.375573062896728427e+00,2.879727506637573153e+00
1.497330784797668568e-01,1.299416518211364835e+00,-8.983355879783629927e-01,-6.527095913887024370e-01,2.134576821327209384e+00,1.148659670352935702e+00
-1.654763984680175826e+00,1.402871179580688521e+00,2.075083899497985662e+00,-1.543549394607544034e+00,-2.494655656814575018e+00,1.967444133758544877e+00
-8.978975534439086470e-01,-2.617354106903076350e+00,2.828704929351806729e+00,-1.251454782485961870e+00,1.965475773811340421e+00,1.422034549713134810e+00
1.116516804695129483e+00,1.160475087165832475e+00,4.323751151561737172e-01,4.257130861282348855e-01,-1.425593256950378418e+00,-1.757575058937072665e+00
1.113637939095497159e-01,1.273020699620246998e-01,-2.901764333248138539e-01,4.742469727993011697e-01,5.890147805213927779e-01,-3.507119655609131081e-01
3.679398357868194358e-01,1.698971420526504406e-01,6.599534153938293457e-01,4.276399731636047474e-01,-1.443888485431671087e-01,-3.199361562728882113e-02
-1.759767085313796997e-01,1.849352866411209106e-01,7.621218916028738022e-03,-8.841746300458908081e-02,-1.351608037948608398e-01,-1.848779171705245972e-01
1.570532381534576472e-01,3.607461452484130859e-01,4.819761037826538197e-01,3.627576231956481934e-01,-3.741289079189300537e-01,7.191580295562743919e-01
2.714446425437927468e-01,1.866532325744628906e+00,4.116885185241699330e-01,-3.285516500473022461e-01,1.707533407211303755e+00,-5.594577431678772195e-01
-8.188388310372829437e-03,2.328947931528091431e-02,-5.562444776296615601e-02,-1.603256464004516602e-01,9.372140467166900635e-02,-2.865440025925636292e-02
-4.789336100220679959e-02,-8.088296771049499068e-01,-5.872618913650512473e-01,5.715867638587951438e-01,9.216388940811157671e-01,1.090144753456115723e+00
-1.746481323242187411e+00,8.260591745376586470e-01,2.575070571899414240e+00,-1.717319655418396041e+00,2.346061515808105291e+00,-2.031341648101806729e+00
-2.354466915130615234e-01,1.669159203767776600e-01,5.271610021591186523e-01,4.380990684032440297e-01,7.844738125801086204e-01,9.577049732208251509e-01
2.839447379112243763e-01,7.819190263748169167e-01,1.058309400081634433e+00,5.876169919967650923e-01,-4.421576619148254172e-01,-1.226409149169921831e+00
-6.693204492330551147e-02,-1.347058415412902832e-01,1.027233600616455078e-01,-1.516754478216171265e-01,6.006691604852676392e-02,-1.809333115816116333e-01
4.236304938793182262e-01,-3.401052892208099587e-01,8.323450803756713423e-01,3.131889283657073864e-01,1.315029120445251554e+00,1.735108661651611373e+00
1.369118428230285733e+00,-1.516463780403137118e+00,3.062431764602661310e+00,-1.317524328827857916e-01,2.285823702812194824e+00,2.737834405899048029e+00
-3.438217043876647949e-01,2.087839627265930087e+00,1.809026789665222124e+00,-6.019673943519592285e-01,2.472337865829467685e+00,3.137648010253906161e+00
1.179548096656799272e+00,-2.156753349304199041e+00,2.504467964172363281e+00,-1.864328479766845792e+00,2.301872038841247470e+00,-2.819355344772338956e+00
9.485983133316040483e-01,1.275015783309936479e+00,-1.982015252113342285e+00,-2.367807483673095792e+00,-2.892439603805541992e+00,-2.301648998260497958e+00
-1.615884494781494096e+00,2.389530181884765625e+00,1.532222223281860307e+00,-1.494304966926574663e+00,-8.669840693473815918e-01,-3.962776780128479115e-01
4.520638227462768777e-01,-2.711462736129760520e-01,5.334384083747863992e-01,2.901016771793365479e-01,3.982983678579330583e-02,7.291605591773986372e-01
-1.480208933353424072e-01,-2.887944877147674561e-01,-3.153156042098999023e-01,6.305253267288207786e-01,8.806401371955872026e-01,4.618175148963928334e-01
2.436104506254196111e-01,1.878268551826477006e+00,-2.153269100189208807e+00,-1.445169281959533647e+00,1.748716449737548917e+00,-2.770928382873535156e+00
-2.692605741322040558e-02,-1.694642156362533569e-01,1.875012069940567017e-01,-8.732680231332778931e-02,-7.500424981117248535e-02,-8.096511662006378174e-02
-2.933434605598449485e-01,-1.388084125518798784e+00,-1.888876056671142667e+00,-1.462815713882446245e+00,-1.697086906433105558e+00,1.174785184860229537e+00
-1.356163787841796919e+00,-2.650864934921264737e+00,2.382398319244384943e+00,-1.460364317893982022e+00,9.885798573493957964e-01,-2.902501440048217862e+00
2.355506956577300970e-01,4.550135850906372181e-01,3.515941143035888894e-01,3.838972151279449463e-01,7.432376442011446032e-05,4.821900010108947643e-01
5.194922029972076638e-01,-3.925640881061553955e-01,9.441685199737548384e-01,3.672759830951690674e-01,-1.723805218935012817e-01,5.195756912231445090e-01
