-1.674423497170209746e-02,4.384829044342041238e-01,8.603554368019104004e-01,-1.405740928649902299e+00,-1.839373826980590820e+00,4.476676327176391801e-02,3.385058939456939697e-01
3.843427121639251820e-01,9.932478815317154208e-02,-2.489556342363357655e-01,5.437033414840698464e-01,4.119901955127716064e-01,-6.279954671859740989e-01,-7.439254224300384521e-02
1.120162653923034712e+00,2.774189710617065430e-01,-3.834907472133636253e-01,1.218982672691345304e+00,-2.684437334537506104e-01,1.094713825732469489e-02,-2.368290200829505782e-02
-1.578602492809295654e-01,1.396460551768541336e-02,-1.546660244464874157e-01,5.133138537406921609e-01,5.701203942298889160e-01,3.421480178833007924e-01,-7.664358615875244141e-02
-2.269490194320678889e+00,-2.643696689605712802e+00,-1.075764870643615811e+00,7.520701885223388672e-01,1.314419150352478027e+00,5.201989054679870828e-01,2.418836325407028309e-01
-2.668566107749938965e-01,2.178010284900665228e-01,2.316826820373535101e-01,6.527549624443054199e-01,3.483340501785278098e-01,-1.805731922388076893e-01,-2.743165671825408825e-01
7.005936047062277620e-03,4.110134243965148926e-01,3.434031009674072266e-01,-1.241308271884918185e-01,-3.221970438957214578e-01,-4.432982981204986461e-01,8.363938778638839444e-02
2.889687418937683105e-01,2.741169571876526101e-01,2.213116675615310613e-01,-2.306585818529129084e-01,3.055650591850280762e-01,2.475464083254337241e-02,2.796856939792632946e-01
-2.112319827079773005e-01,2.372717916965484675e-01,7.104559421539307085e-01,-8.796789288520813210e-01,-1.989303588867187556e-01,3.302690237760543684e-02,-2.085762843489646912e-02
-1.809423416852951050e-01,1.987046062946319636e-01,2.829392075538635365e-01,1.335949301719665527e-01,-3.621653795242309459e-01,-4.199159979820251687e-01,6.358202576637268510e-01
-4.285592257976532093e-01,-6.463886260986327903e-01,-1.309084033966064542e+00,6.639805436134338379e-02,1.701601052284240634e+00,-8.438179492950440008e-02,-1.044743463397026090e-01
-3.383288204669952504e-01,-2.681670665740966686e-01,9.351868182420730591e-02,6.189467310905456543e-01,3.750247359275817871e-01,4.928887724876404031e-01,5.780295729637145996e-01
1.657104760408401600e-01,3.647894442081451305e-01,4.448176145553588978e-01,2.006731510162353405e-01,-1.807137161493301281e-01,-2.735769927501678356e-01,-1.679212987422943060e-01
3.341898798942565807e-01,1.500271916389465332e+00,-3.390190601348876953e+00,5.021709382534027544e-01,-1.246404004096984819e+00,-4.653360098600387712e-02,-8.008390218019485751e-02
1.800482690334320179e-01,4.997951090335846225e-02,2.907249391078948753e-01,5.063462793827057107e-01,1.446155995130538885e-01,-4.426961660385131947e-01,4.598405778408050648e-01
-1.860194057226181030e-01,8.284056931734085083e-02,5.407663434743881226e-02,-1.409069299697875977e-01,2.031760066747665405e-01,1.350240260362625122e-01,-1.697403043508529663e-01
4.127250373363494651e-01,4.211197018623352162e-01,1.869667083024978693e-01,-2.366239577531814575e-01,7.423680573701858798e-02,-4.612118005752563477e-01,3.836295902729034424e-01
-1.624959975481033436e-01,3.221333742141723744e-01,-1.782553374767303356e-01,-8.854012966156006303e-01,1.121933653950691195e-01,-2.229258954524993841e-01,-1.447584003210067860e-01
-6.416756063699721735e-02,3.759259581565856934e-01,4.981525301933288352e-01,-1.902722209692001287e-01,-1.080518588423728943e-01,-2.250330716371536366e-01,3.859989106655120628e-01
-9.928800631314516068e-03,3.120334565639495961e-01,1.756570458412170521e-01,3.684850260615348677e-02,4.218214690685272439e-01,-1.980297297239303478e-01,-5.343344330787658247e-01
1.239195577800273826e-02,3.596116364002227561e-01,4.558928728103637806e-01,1.903767734766006470e-01,-1.059889029711484978e-02,1.627845615148544312e-01,-1.650907099246978760e-01
1.550157489255070756e-02,1.306652702391147558e-01,1.251068612560629900e-01,-9.817352175712585893e-01,-1.346400213241577104e+00,4.674781131744384588e+00,-7.406787037849426047e-01
4.331305742263794056e-01,-2.067080688476562678e+00,1.795419812202453613e+00,-4.591869831085205189e-01,4.894305586814880482e-01,4.293340370059013644e-02,6.419426500797272006e-02
3.003836214542389138e-01,-7.413170188665389737e-02,-7.015958070755005105e-01,3.024058461189270131e-01,2.997450709342956432e-01,6.100405752658843994e-02,-4.679583385586738586e-02
2.321453720331191906e-01,4.010588407516479381e-01,3.429420888423919678e-01,3.015135049819946400e-01,-1.904770523309707586e-01,3.263689279556274414e-01,1.178239271044731196e-01
-2.389060169458389338e-01,2.044162452220916748e-01,1.392233014106750433e-01,-8.234191536903381903e-02,3.290477335453033669e-01,7.423477888107299361e-01,-6.721805110573768338e-02
-2.275295257568359444e-02,-1.297140574455261319e+00,2.980909347534179688e-01,-2.823860526084899791e-01,1.381797146797180131e+00,1.534029208123683860e-02,4.471322447061538974e-02
-2.900011241436004639e-01,2.369178682565689087e-01,3.784309387207031028e-01,1.616564422845840343e-01,2.629289031028747559e-01,5.294306650757789334e-02,3.595406353473663552e-01
2.738444089889526256e-01,7.259808182716369351e-02,1.322081804275512806e-01,3.905107796192169300e-01,3.653246045112609752e-01,1.264031361788511311e-02,-4.367415830492973189e-02
1.053254026919603348e-02,-1.922059357166290283e-01,5.566439405083656311e-02,8.296892046928405762e-02,2.296011894941329956e-02,-2.266117371618747711e-03,-1.121705546975135803e-01
-5.948199033737182617e-01,-3.260044693946838601e-01,1.757454186677932795e-01,7.234566926956176314e-01,5.187669098377227783e-01,1.102712750434875488e-01,4.676500380039215199e-01
-4.607976341247558949e+00,-8.061967015266418013e-01,1.170064663887024015e+00,3.444237291812896617e-01,-1.728553146123886219e-01,3.372624095063656707e-02,8.741852920502423893e-03
-1.255628734361380252e-03,-1.190021827816963168e-01,2.157644093036651667e-01,2.985289812088012806e-01,5.293338179588318315e-01,5.199846029281616211e-01,-3.247983098030090554e-01
2.766398251056670921e-01,1.112948253750801059e-01,3.652037560939788707e-01,1.342896103858947643e-01,3.323857933282851895e-02,3.282477498054504617e-01,-4.102740466594695934e-01
3.616560339927673562e-01,1.084248289465904180e-01,3.923450112342834473e-01,-1.990767449140548595e-01,-2.863620758056640847e-01,2.750792074948549271e-03,-2.339255541563033947e-01
-1.479292809963226318e-01,-7.782230526208877563e-02,-2.011454664170742035e-02,-1.532517969608306885e-01,-6.468658149242401123e-02,-6.256835162639617920e-02,-1.086547132581472397e-02
7.644692435860633850e-02,7.139630079269408958e-01,-2.969910764694213778e+00,-1.117850899696350098e+00,9.553833961486816184e-01,-7.741926759481429499e-02,-1.184911280870437622e-01
-6.190828382968902727e-02,8.140008151531219482e-02,5.453134775161743164e-01,-9.686099588871002752e-02,-3.298443675041198841e-01,5.728026628494262695e-01,-2.564077079296111887e-03
-2.973676741123199574e-01,-2.424997270107269176e-01,-1.715562254190445002e-01,9.246281534433364868e-02,6.538472414016723855e-01,6.006964564323424849e-01,-1.034626141190528870e-01
4.249721646308898815e-01,1.452830061316490087e-03,3.666346609592437966e-01,-2.351501941680908259e-01,-2.442213818430900504e-02,6.990673840045928678e-02,1.881794601678848378e-01
2.032547891139984131e-01,-1.007681712508201599e-01,-5.334922298789024353e-02,1.068873479962348938e-01,-1.022629737854003906e-01,-8.794605731964111328e-02,-8.442339301109313965e-02
3.305716753005981667e-01,2.216568380594253485e-01,-4.375947237014770619e-01,7.835329324007034302e-02,3.611690878868102916e-01,3.723516464233398438e-01,3.198644399642944225e-01
2.966957569122314342e-01,2.444151461124420277e-01,-2.783073365688323864e-01,-5.254494667053222212e-01,5.709695294499397139e-02,-6.205495238304138406e-01,4.437112987041473278e-01
4.477730929851532204e-01,3.496826291084289551e-01,1.375835120677947887e-01,-2.474910974502563532e-01,-7.355083525180816650e-02,4.347629129886627086e-01,2.581108093261718639e-01
-3.313756823539734109e-01,-4.537732005119323592e-02,-3.299368977546691672e-01,6.746176183223724643e-02,4.529898703098297341e-01,-8.046546950936317444e-03,9.974366664886474831e-01
1.004274144768714933e-01,4.241005837917327659e-01,3.736753165721893311e-01,1.203506305813789312e-01,-1.943590760231018177e-01,-2.737957954406738392e-01,2.553307235240936390e-01
-7.548625916242598932e-02,-1.648006618022918590e-01,-3.397094130516052357e-01,2.523858845233917236e-01,6.226111888885498269e-01,-3.758792459964752086e-01,-1.117647364735603333e-01
-3.739963889122009388e-01,-1.827564537525177002e-01,3.877990007400512473e-01,3.556499004364013783e-01,6.604506850242615190e-01,-2.732848882675170676e-01,-5.811584949493407981e-01
-2.807154417037963645e-01,9.912892580032348078e-02,3.685579359531402366e-01,-1.279479146003723145e+00,5.021076858043670432e-01,-2.787914276123047014e-02,-1.008670008182525724e+00
2.046367734670639094e-01,-2.496890234760940162e-03,3.100507795810699685e-01,1.235702246427536066e-01,-3.294662415981292614e-01,7.603367805480957253e-01,1.495214670896530262e-01
-1.447428435087204091e-01,1.577440857887268122e-01,-2.786417901515960693e-01,5.844200968742370161e-01,4.075234234333038330e-01,3.065691769123077282e-01,1.463835537433624268e-01
-1.051460579037666321e-01,1.019636765122413635e-01,-1.962478458881378174e-01,-4.792904317378997581e-01,3.019285261631011741e-01,-4.297532856464386097e-01,1.008037304878234952e+00
2.272711962461471669e-01,1.206821069121360723e-01,3.080174326896667480e-01,1.802690625190734863e-01,-3.002407312393188255e-01,9.169793128967285156e-02,5.175561547279358132e-01
4.444695413112640381e-01,2.945466399192809837e-01,2.814628124237060769e-01,-2.452723264694213756e-01,-4.895766898989677152e-02,4.284191370010376199e-01,-1.905499458312988337e-01
2.164061158895492498e-01,3.287173807621002197e-01,-9.737786769866942915e-01,5.065424516797065874e-02,4.862012922763824241e-01,-1.212199305882677463e-04,-1.528546679764986038e-02
4.263440608978271706e-01,2.592697530984878762e-01,-2.947150051593780407e-01,4.645982086658477783e-01,-4.602972939610481401e-02,2.670690894126891979e-01,4.708333671092986839e-01
4.669022321701049583e-01,2.713673710823059082e-01,3.230017304420471080e-01,-2.182047456502914373e-01,-2.136828422546386830e-01,3.240157485008239857e-01,2.607451856136321910e-01
-3.163092672824859841e-01,-1.239566802978515625e+00,1.051319146156310946e+00,-2.163755357265472468e-01,6.060252904891967329e-01,-3.523346856236457547e-02,-3.031476140022277763e-02
2.008975267410278431e-01,3.477638602256775124e-01,2.477803051471710316e-01,2.375674813985824696e-01,-2.206675261259078979e-01,1.282401487231254467e-01,-3.234911918640136497e-01
4.077127039432525413e-01,3.708882868289947732e-01,-2.049143284559249989e-01,-1.214605346322059631e-01,-1.326476037502288818e-01,7.925921559333801714e-01,4.459821820259094460e-01
